Group,beta_0,beta_1,beta_2,beta_3,beta_4,beta_5,beta_6,beta_7
1,-4.0092,80.4990,89.3969,65.0335,0.0969,0.0124,0.3150,1.8500
2,-5.1720,86.0820,92.5925,67.8563,0.1161,0.0116,0.2785,2.2087
3,-4.9167,97.4497,102.9998,89.3026,0.0762,0.0126,0.2908,2.4458
4,-4.2800,86.6051,94.3969,78.3769,0.0881,0.0105,0.3172,2.3064
5,-4.1837,70.5456,75.2077,65.3523,0.1372,0.0119,0.3175,2.7234
6,-3.7487,76.0761,82.3788,68.9345,0.1076,0.0119,0.3012,2.5734
7,-4.3376,76.3004,81.1055,69.5792,0.1159,0.0089,0.3524,2.2889
8,-3.9480,74.3455,80.9280,69.3210,0.0947,0.0085,0.3092,2.0523
9,-3.9131,65.9403,68.0198,63.9439,0.1014,0.0069,0.3495,2.4178
10,-4.3957,75.4191,81.4198,71.8111,0.0904,0.0025,0.0377,0.1791
11,-4.4621,81.1349,88.7389,76.6944,0.1158,0.0034,0.2252,0.2315
12,-4.2401,84.2529,91.5048,78.7788,0.1023,0.0054,0.0638,0.1422
13,-4.8748,85.1930,91.5190,81.2123,0.0810,0.0022,0.0560,0.1471
14,-4.2234,69.5686,74.5607,66.4175,0.0831,0.0028,0.0465,0.2132
15,-4.2171,75.1335,82.3602,77.6651,0.1075,0.0055,0.1000,0.1828
16,-4.4116,82.9939,87.7027,78.4396,0.0762,0.0025,0.1215,0.1929
17,-4.2438,75.3416,80.8032,74.9467,0.1015,0.0033,0.1090,0.2142
18,-4.1582,75.5070,80.7061,73.3890,0.0811,0.0017,0.0796,0.1738
